# 2026 WorldTeam rosters, from English Wikipedia "List of 2026 UCI WorldTeams and riders" (CC BY-SA 4.0), fetched 2026-09-25.
# Used offline by: npm run build:real. Refresh from Wikipedia with: npm run build:real:wiki
# Format: "## Team name" then: Name | NAT (IOC) | birth year | type. Types come from Wikipedia rider types or ratings.csv.

## Alpecin–Premier Tech
Thibau Nys | BEL | 2002 | puncheur
Sam Oomen | NED | 1995 | climber
Mads Pedersen | DEN | 1995 | cobbles
Quinn Simmons | USA | 2001 | puncheur
Mattias Skjelmose | DEN | 2000 | puncheur
Toms Skujiņš | LAT | 1991 | puncheur
Matteo Sobrero | ITA | 1997 | tt
Jakob Söderqvist | SWE | 2003 | tt
Tim Torn Teutenberg | GER | 2002 | sprinter
Edward Theuns | BEL | 1991 | cobbles
Mathias Vacek | CZE | 2002 | cobbles
Otto Vergaerde | BEL | 1994 | rouleur
Carlos Verona | ESP | 1992 | climber
Max Walscheid | GER | 1993 | rouleur
Albert Withen Philipsen | DEN | 2006 | cobbles

## Lotto–Intermarché
Toon Aerts | BEL | 1993 | cobbles
Huub Artz | NED | 2002 | rouleur
Jenno Berckmoes | BEL | 2001 | rouleur
Cedric Beullens | BEL | 1997 | rouleur
Vito Braet | BEL | 2000 | rouleur
Lars Craps | BEL | 2001 | rouleur
Jasper De Buyst | BEL | 1993 | rouleur
Arnaud De Lie | BEL | 2002 | sprinter
Steffen De Schuyteneer | BEL | 2005 | rouleur
Matthew Fox | AUS | 2002 | rouleur
Joshua Giddings | GBR | 2003 | rouleur
Sébastien Grignard | BEL | 1999 | tt
Matys Grisel | FRA | 2005 | rouleur
Simone Gualdi | ITA | 2005 | climber
Mathieu Kockelmann | LUX | 2004 | rouleur
Milan Menten | BEL | 1996 | sprinter
Robin Orins | BEL | 2002 | tt
Lorenzo Rota | ITA | 1995 | puncheur
Jonas Rutsch | GER | 1998 | cobbles
Liam Slock | BEL | 2000 | tt
Lionel Taminiaux | BEL | 1996 | rouleur
Reuben Thompson | NZL | 2001 | rouleur
Luca Van Boven | BEL | 2000 | rouleur
Taco van der Hoorn | NED | 1993 | cobbles
Lennert Van Eetvelt | BEL | 2001 | puncheur
Roel van Sintmaartensdijk | NED | 2001 | rouleur
Baptiste Veistroffer | FRA | 2000 | rouleur
Jarno Widar | BEL | 2005 | climber
Georg Zimmermann | GER | 1997 | climber
Felix Ørn-Kristoff | NOR | 2006 | rouleur

## Movistar Team
Roger Adrià | ESP | 1998 | puncheur
Jorge Arcas | ESP | 1992 | rouleur
Orluis Aular | VEN | 1996 | sprinter
Jon Barrenetxea | ESP | 2000 | gc
Carlos Canal | ESP | 2001 | puncheur
Pablo Castrillo | ESP | 2001 | climber
Jefferson Alveiro Cepeda | ECU | 1996 | climber
Davide Formolo | ITA | 1992 | climber
Iván García Cortina | ESP | 1995 | rouleur
Raúl García Pierna | ESP | 2001 | gc
Michel Hessmann | GER | 2001 | rouleur
Juan Pedro López | ESP | 1997 | climber
Enric Mas | ESP | 1995 | gc
Lorenzo Milesi | ITA | 2002 | tt
Manlio Moro | ITA | 2002 | rouleur
Pavel Novák | CZE | 2004 | climber
Nelson Oliveira | POR | 1989 | tt
Diego Pescador | COL | 2004 | climber
Nairo Quintana | COL | 1990 | climber
Iván Romeo | ESP | 2003 | tt
Javier Romo | ESP | 1999 | climber
Einer Rubio | COL | 1998 | climber
Pelayo Sánchez | ESP | 2000 | rouleur
Gonzalo Serrano | ESP | 1994 | rouleur
Natnael Tesfatsion | ERI | 1999 | rouleur
Albert Torres | ESP | 1990 | rouleur
Cian Uijtdebroeks | BEL | 2003 | gc

## Netcompany INEOS Cycling Team
Thymen Arensman | NED | 1999 | gc
Andrew August | USA | 2005 | puncheur
Egan Bernal | COL | 1997 | gc
Laurens De Plus | BEL | 1995 | climber
Tobias Foss | NOR | 1997 | tt
Filippo Ganna | ITA | 1996 | tt
Dorian Godon | FRA | 1996 | puncheur
Jack Haig | AUS | 1993 | climber
Lucas Hamilton | AUS | 1996 | climber
Kim Heiduk | GER | 2000 | rouleur
Bob Jungels | LUX | 1992 | gc
Michał Kwiatkowski | POL | 1990 | puncheur
Victor Langellotti | MON | 1995 | puncheur
Axel Laurance | FRA | 2001 | puncheur
Oscar Onley | GBR | 2002 | gc
Brandon Rivera | COL | 1996 | climber
Carlos Rodríguez | ESP | 2001 | gc
Óscar Rodríguez | ESP | 1995 | climber
Magnus Sheffield | USA | 2002 | tt
Artem Shmidt | USA | 2004 | climber
Embret Svestad-Bårdseng | NOR | 2002 | climber
Ben Swift | GBR | 1987 | sprinter
Connor Swift | GBR | 1995 | cobbles
Joshua Tarling | GBR | 2004 | tt
Ben Turner | GBR | 1999 | cobbles
Kévin Vauquelin | FRA | 2001 | puncheur
Samuel Watson | GBR | 2001 | tt
Sam Welsford | AUS | 1996 | sprinter
Peter Øxenberg | DEN | 2005 | rouleur

## NSN Cycling Team
Lewis Askey | GBR | 2001 | cobbles
George Bennett | NZL | 1990 | climber
Joseph Blackmore | GBR | 2003 | puncheur
Guillaume Boivin | CAN | 1989 | rouleur
Simon Clarke | AUS | 1986 | puncheur
Pier-André Côté | CAN | 1997 | puncheur
Itamar Einhorn | ISR | 1997 | sprinter
Marco Frigo | ITA | 2000 | climber
Brady Gilmore | AUS | 2001 | rouleur
Biniam Girmay | ERI | 2000 | sprinter
Jan Hirt | CZE | 1991 | climber
Hugo Hofstetter | FRA | 1994 | sprinter
Oded Kogut | ISR | 2001 | sprinter
Matis Louvel | FRA | 1999 | cobbles
Alexey Lutsenko | KAZ | 1992 | cobbles
Pau Martí | ESP | 2004 | rouleur
Ryan Mullen | IRL | 1994 | tt
Krists Neilands | LAT | 1994 | puncheur
Alessandro Pinarello | ITA | 2003 | rouleur
Nadav Raisberg | ISR | 2001 | sprinter
Nick Schultz | AUS | 1994 | climber
Riley Sheehan | USA | 2000 | cobbles
Jake Stewart | GBR | 1999 | sprinter
Corbin Strong | NZL | 2000 | puncheur
Tom Van Asbroeck | BEL | 1990 | rouleur
